	index	Date	HomeTeam	AwayTeam	FTHG	FTAG	HS	AS	HST	AST	HTHG	HTAG	HF	AF	FTR	HTR	HY	AY	HR	AR	WHH	WHD	WHA	Season	watch	AGS	AGA	AYC	ARC	AWW	HGS	HGA	HYC	HRC	HWW
72	84	2000-10-14	Leicester	Man United	0	3	10	16	4	5	0	1	8	11	A	A	0	0	0	0	3.75	3.3	1.8	00	0	2.5	1.0	1.5	0.0	0.5	0.875	0.25	1.625	0.0	0.0
73	85	2000-10-14	Man City	Bradford	2	0	13	10	10	2	2	0	10	16	H	H	0	2	0	0	1.8	3.3	3.75	00	0	0.5	1.5	1.25	0.0	0.125	1.25	1.75	2.125	0.0	0.375
74	86	2000-10-14	Sunderland	Chelsea	1	0	16	11	11	2	0	0	12	18	H	D	0	1	1	1	3.0	3.2	2.1	00	0	1.625	1.5	1.875	0.0	0.375	0.875	1.375	2.375	0.0	0.125
75	87	2000-10-15	Derby	Liverpool	0	4	6	16	0	11	0	1	18	13	A	A	1	1	0	0	3.75	3.2	1.83	00	1	1.5	1.625	1.625	0.25	0.375	1.75	2.375	2.375	0.125	0.75
76	88	2000-10-16	Middlesbrough	Newcastle	1	3	8	15	2	8	0	1	8	13	A	A	2	1	0	0	2.5	3.1	2.5	00	1	1.0	0.875	0.5	0.125	0.125	1.75	1.5	2.75	0.0	0.5
77	89	2000-10-21	Bradford	Ipswich	0	2	7	12	3	3	0	1	15	14	A	A	1	0	0	0	2.25	3.2	2.75	00	0	1.3333333333333333	1.2222222222222223	0.8888888888888888	0.0	0.2222222222222222	0.4444444444444444	1.5555555555555556	1.3333333333333333	0.0	0.1111111111111111
78	90	2000-10-21	Charlton	Middlesbrough	1	0	5	8	2	6	0	0	11	19	H	D	2	2	0	0	2.1	3.2	3.0	00	0	1.6666666666666667	1.6666666666666667	2.6666666666666665	0.0	0.5555555555555556	1.6666666666666667	1.7777777777777777	1.2222222222222223	0.2222222222222222	0.5555555555555556
79	91	2000-10-21	Chelsea	Coventry	6	1	33	3	19	3	2	0	6	8	H	H	0	1	0	1	1.4	3.6	7.5	00	1	1.1111111111111112	1.6666666666666667	2.0	0.2222222222222222	0.2222222222222222	1.4444444444444444	1.4444444444444444	1.7777777777777777	0.1111111111111111	0.3333333333333333
80	92	2000-10-21	Liverpool	Leicester	1	0	24	8	11	3	0	0	8	10	H	D	1	2	0	0	1.5	3.4	6.0	00	0	0.7777777777777778	0.5555555555555556	1.4444444444444444	0.0	0.0	1.7777777777777777	1.4444444444444444	1.5555555555555556	0.2222222222222222	0.4444444444444444
81	93	2000-10-21	Man United	Leeds	3	0	26	5	14	0	1	0	9	18	H	H	0	2	0	0	1.44	3.6	6.5	00	0	1.75	1.25	1.0	0.0	0.5	2.5555555555555554	0.8888888888888888	1.3333333333333333	0.0	0.4444444444444444
82	94	2000-10-21	Newcastle	Everton	0	1	11	9	4	4	0	0	9	12	A	D	1	3	0	0	1.53	3.4	5.5	00	0	1.3333333333333333	1.7777777777777777	1.7777777777777777	0.0	0.3333333333333333	1.2222222222222223	0.8888888888888888	0.5555555555555556	0.1111111111111111	0.2222222222222222
83	95	2000-10-21	Tottenham	Derby	3	1	18	8	8	7	2	1	9	16	H	H	1	2	0	0	1.44	3.6	6.5	00	1	1.5555555555555556	2.5555555555555554	2.2222222222222223	0.1111111111111111	0.7777777777777778	1.3333333333333333	1.4444444444444444	1.0	0.0	0.3333333333333333
84	96	2000-10-21	West Ham	Arsenal	1	2	11	13	3	5	0	2	15	11	A	A	1	0	0	0	3.0	3.2	2.1	00	0	1.6666666666666667	1.0	1.3333333333333333	0.2222222222222222	0.2222222222222222	1.2222222222222223	1.3333333333333333	2.111111111111111	0.1111111111111111	0.2222222222222222
